rank,geek_rating,game_id
272,7.19326,92828
273,7.19281,302723
274,7.18891,108745
275,7.18547,24181
276,7.18545,206718
277,7.18372,176734
278,7.18027,155873
279,7.18,246784
280,7.17842,2655
281,7.17633,66589
282,7.17502,97207
283,7.1757,299659
284,7.17458,316377
285,7.17304,19777
286,7.16872,22545
287,7.16763,311193
288,7.1643,139976
289,7.16301,187617
290,7.16303,38453
291,7.16222,244271
292,7.16252,160477
293,7.15988,181279
294,7.16028,230253
295,7.15925,154203
296,7.15828,46213
297,7.15718,156546
298,7.15371,298047
299,7.15207,143693
300,7.15084,93260
301,7.14928,54138
302,7.1462,59294
303,7.14391,48726
304,7.14327,227789
305,7.13938,257499
306,7.13876,13122
307,7.13811,203420
308,7.13773,209685
309,7.13583,54
310,7.13404,163967
311,7.13391,136888
312,7.13248,2653
313,7.1304,291572
314,7.12878,222509
315,7.1292,129622
316,7.12989,258779
317,7.12675,172081
318,7.12669,193037
319,7.12545,184921
320,7.12465,245655
321,7.12563,366161
322,7.12396,188866
323,7.12402,270633
324,7.12393,5
325,7.12237,172818
326,7.12156,140934
327,7.12137,172
328,7.12106,40692
329,7.12011,50
330,7.1201,285192
331,7.11965,297562
332,7.11991,323612
333,7.11598,45315
334,7.11469,304420
335,7.11485,146439
336,7.11236,25292
337,7.11243,111341
338,7.11176,77130
339,7.11162,234277
340,7.11241,256680
341,7.10987,176920
342,7.10979,219513
343,7.10971,297030
344,7.10784,21241
345,7.10678,59959
346,7.10432,39856
347,7.10269,234
348,7.10097,181304
349,7.09846,199042
350,7.09792,70919
351,7.09789,319966
352,7.0969,47
353,7.09555,163745
354,7.09344,37046
355,7.09302,119890
356,7.09233,192458
357,7.09191,41114
358,7.09117,234487
359,7.09041,101721
360,7.08616,63888
361,7.0857,128271
362,7.08426,246192
363,7.07857,8217
364,7.07778,295374
365,7.07647,90137
366,7.07314,318184
367,7.07252,244711
368,7.0724,25554
369,7.07139,39683
370,7.07141,250458
371,7.07046,245934
372,7.06996,24480
373,7.06877,155987
374,7.06806,284653
375,7.06531,150145
376,7.06297,318084
377,7.06117,182134
378,7.0581,269210
379,7.05777,9217
380,7.05737,1
381,7.05767,301880
382,7.05591,240980
383,7.05627,260428
384,7.05494,215311
385,7.05412,40354
386,7.05461,33160
387,7.05254,17392
388,7.05203,195539
389,7.04704,70323
390,7.04757,277085
391,7.04698,31594
392,7.04602,21348
393,7.04576,262211
394,7.04529,365717
395,7.04383,265736
396,7.04334,144592
397,7.04212,256226
398,7.04053,372
399,7.03932,236191
400,7.03929,202426
401,7.03778,166669
402,7.03603,71
403,7.03533,15987
404,7.03283,336986
405,7.03322,194594
406,7.03322,329839
407,7.03074,198773
408,7.03018,246684
409,7.02825,170771
410,7.02815,204305
411,7.02709,154809
412,7.026,40765
413,7.02442,251658
414,7.02389,161614
415,7.0236,351913
416,7.02235,229220
417,7.02225,54625
418,7.02161,92415
419,7.02076,138161
420,7.01915,186751
421,7.01863,121
422,7.01628,36932
423,7.01583,128671
424,7.01574,66188
425,7.01593,55670
426,7.01546,260180
427,7.01455,243
428,7.0115,124708
429,7.01135,34219
430,7.01087,63628
431,7.01081,274638
432,7.009,298069
433,7.00891,215341
434,7.00913,262543
435,7.00632,332800
436,7.00585,258210
437,7.00597,100901
438,7.00253,151347
439,7.00123,27162
440,7.00048,293141
441,6.99806,171
442,6.99592,270844
443,6.99242,66362
444,6.99134,96913
445,6.99025,256730
446,6.98981,11170
447,6.98832,79828
448,6.98815,332772
449,6.98694,18833
450,6.98629,176396
451,6.98616,192153
452,6.98462,274960
453,6.98115,150
454,6.98279,364011
455,6.97982,264241
456,6.9775,156858
457,6.97499,325494
458,6.97381,194607
459,6.97243,169427
460,6.97154,137408
461,6.96967,290236
462,6.9671,25417
463,6.96666,197376
464,6.96629,62222
465,6.96594,233312
466,6.96594,343905
467,6.96471,150658
468,6.96423,284742
469,6.96927,322289
470,6.96221,5404
471,6.96149,15985
472,6.96032,105134
473,6.95971,158899
474,6.95866,226522
475,6.95776,269144
476,6.95726,157969
477,6.95529,205398
478,6.95434,712
479,6.95433,146791
480,6.95389,336382
481,6.95384,478
482,6.95363,136063
483,6.95255,162082
484,6.95221,83330
485,6.95203,20437
486,6.95173,144189
487,6.95098,232414
488,6.95055,17226
489,6.94959,98778
490,6.94954,15062
491,6.94852,12942
492,6.9478,128996
493,6.94648,240196
494,6.94503,62227
495,6.943,43570
496,6.9422,193042
497,6.94205,256952
498,6.94149,177639
499,6.94131,216600
500,6.93861,17405
501,6.93825,175095
502,6.93621,13
503,6.93434,180974
504,6.93449,191862
505,6.93255,245654
506,6.93223,262215
507,6.93169,11
508,6.93153,119506
509,6.93151,315767
510,6.93115,303057
511,6.93091,247367
512,6.92858,21790
513,6.92725,97786
514,6.92687,206480
515,6.92626,144797
516,6.92365,206941
517,6.92317,322708
518,6.92261,156009
519,6.92004,65781
520,6.91979,239942
521,6.9194,142379
522,6.91915,105551
523,6.91617,171668
524,6.91628,9674
525,6.91625,95527
526,6.91551,252328
527,6.9153,31999
528,6.91355,221965
529,6.91314,125618
530,6.91306,36553
531,6.91239,127398
532,6.91178,6249
533,6.90944,90419
534,6.91166,276182
535,6.90582,18
536,6.90582,220
537,6.90594,147949
538,6.9056,163968
539,6.90572,875
540,6.90555,91312
541,6.90513,290359
542,6.90484,123123
543,6.90488,133848
544,6.90575,177478
545,6.90398,31730
546,6.90409,133473
547,6.90328,245961
548,6.90355,284189
549,6.90222,102652
550,6.90129,27173
551,6.90037,97842
552,6.89947,196326
