rank,geek_rating,game_id
234,7.12502,182631
235,7.1235,98778
236,7.12306,144592
237,7.1201,13
238,7.11815,27162
239,7.11696,97786
240,7.11661,11170
241,7.11634,172
242,7.11059,137408
243,7.10937,172081
244,7.10899,42052
245,7.10807,58421
246,7.10392,169255
247,7.10255,105551
248,7.10212,63888
249,7.10124,163967
250,7.10023,116998
251,7.1,36553
252,7.09512,3685
253,7.09174,127398
254,7.09082,138161
255,7.08707,90419
256,7.08501,146791
257,7.08383,62222
258,7.08226,158899
259,7.08206,125618
260,7.08158,205359
261,7.08151,128671
262,7.08149,34219
263,7.08028,475
264,7.07936,62227
265,7.07737,188834
266,7.0769,171668
267,7.07652,113924
268,7.07361,141572
269,7.07172,162082
270,7.06967,34119
271,7.06721,6472
272,7.06574,27173
273,7.06546,163968
274,7.0648,166669
275,7.0647,39351
276,7.06267,50
277,7.06231,9625
278,7.06051,43570
279,7.05836,3307
280,7.05695,478
281,7.05417,39938
282,7.05106,133848
283,7.05098,119506
284,7.05028,155703
285,7.04988,97842
286,7.04954,183562
287,7.04744,166384
288,7.04509,140603
289,7.04436,128271
290,7.04394,161614
291,7.04372,9674
292,7.04353,1513
293,7.04292,192458
294,7.04289,15062
295,7.04255,150
296,7.0401,18
297,7.03898,181521
298,7.03847,15363
299,7.03418,95527
300,7.03284,198994
301,7.03158,159508
302,7.03059,133473
303,7.02959,192457
304,7.02765,155987
305,7.02717,121288
306,7.02517,22827
307,7.0248,42776
308,7.02371,134726
309,7.02327,65532
310,7.02107,50750
311,7.01967,167400
312,7.01934,586
313,7.01672,119432
314,7.01511,21790
315,7.01439,176734
316,7.01248,151347
317,7.01047,24800
318,7.00994,2346
319,7.0082,18098
320,7.00789,121408
321,7.0076,131357
322,7.00703,58281
323,7.0053,26997
324,7.00126,36235
325,7.00017,113997
326,6.99915,31999
327,6.99671,31730
328,6.99436,155624
329,6.99393,20437
330,6.99088,163166
331,6.99016,79127
332,6.98598,1353
333,6.9859,160499
334,6.98418,30869
335,6.98389,143519
336,6.98357,27746
337,6.98263,128780
338,6.98185,11
339,6.98138,47
340,6.98125,182134
341,6.98111,148575
342,6.98087,192153
343,6.97858,28181
344,6.97816,144189
345,6.97641,20963
346,6.97269,9823
347,6.97233,140934
348,6.97221,70512
349,6.96924,153938
350,6.96757,135219
351,6.96671,10547
352,6.96591,137988
353,6.9655,151022
354,6.96453,4390
355,6.96155,170042
356,6.96106,15364
357,6.96022,110277
358,6.95907,191862
359,6.95855,103886
360,6.95854,126792
361,6.95747,38996
362,6.95722,42215
363,6.95688,150997
364,6.9566,113294
365,6.95567,30380
366,6.95517,3201
367,6.95322,88
368,6.95274,82421
369,6.95197,6249
370,6.95052,82420
371,6.94934,31563
372,6.94919,21763
373,6.9483,200680
374,6.94793,183251
375,6.94562,2163
376,6.94451,68425
377,6.94429,12942
378,6.94169,204583
379,6.94099,24508
380,6.94073,160495
381,6.94057,372
382,6.93913,28023
383,6.93786,91312
384,6.93761,65901
385,6.93616,158275
386,6.93257,41002
387,6.93198,117915
388,6.93186,168584
389,6.92983,177639
390,6.92905,41066
391,6.92868,162007
392,6.92858,47185
393,6.92852,35570
394,6.9284,171
395,6.92819,22345
396,6.92411,55600
397,6.92105,172308
398,6.91984,111341
399,6.91953,91872
400,6.91768,37904
401,6.9176,12891
402,6.91577,192836
403,6.91208,123540
404,6.91206,73761
405,6.91028,175640
406,6.91007,503
407,6.90919,160010
408,6.90821,174785
409,6.90708,43528
410,6.90687,13004
411,6.90658,156689
412,6.90651,107529
413,6.90536,46
414,6.90518,94
415,6.90437,180511
416,6.90294,146278
417,6.90123,163602
418,6.90074,30957
419,6.89686,1035
420,6.89599,189932
421,6.89417,27976
422,6.89399,151004
423,6.89391,132028
424,6.89373,156009
425,6.89356,26566
426,6.89269,84419
427,6.89141,131287
428,6.88954,155362
429,6.88947,144797
430,6.88767,156336
431,6.8865,12962
432,6.88614,137269
433,6.88435,2181
434,6.88263,528
435,6.88205,194607
436,6.881,139898
437,6.88079,100423
438,6.87955,143741
439,6.87928,158889
440,6.87606,1345
441,6.87261,69779
442,6.8709,196340
443,6.87058,12002
444,6.87049,191189
445,6.86597,143515
446,6.86546,199042
447,6.86299,5782
448,6.86263,9440
449,6.86101,491
450,6.85908,156943
451,6.85874,111799
452,6.85838,98351
453,6.85564,148319
454,6.85511,21882
455,6.85477,12902
456,6.85472,7717
457,6.8537,169124
458,6.85353,69789
459,6.85312,130960
460,6.85232,85897
461,6.8517,108784
462,6.85006,168435
463,6.8492,1041
464,6.84805,483
465,6.8477,8125
466,6.84548,52461
467,6.84506,45986
468,6.84461,180974
469,6.84359,939
470,6.84352,106217
471,6.84314,13642
472,6.8427,20100
473,6.84158,156566
474,6.84028,29603
475,6.83994,66356
476,6.8387,53953
477,6.83482,29368
478,6.83436,2453
479,6.8331,119788
480,6.83276,108906
481,6.83259,173442
482,6.82918,92415
483,6.82876,240
484,6.82865,72225
485,6.82346,95064
486,6.82225,40628
487,6.82077,129948
488,6.82033,162286
489,6.81982,181530
490,6.81767,19600
491,6.8163,171499
492,6.81474,1301
493,6.81344,71721
494,6.81343,554
495,6.81335,206941
496,6.81333,161417
497,6.81173,117959
498,6.81115,38823
499,6.8099,67492
500,6.80981,145659
501,6.80819,147151
502,6.8075,2955
503,6.80729,89409
